ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
366;45;2;140;0;1;740;120;700;0;2;0;2;2;6;6;17.78;0;18.27;0;38.77;21.72;0;22.27;26.03;7.72;14;0;0;7.17;15.1;10.93;15.1;3;0;7.02;0;5.52;6.37;0;6.12;6.12;1;0;1.6;1.3;0;2.3;2.9;4.56;0;2.04;0;0.68;1.19;0;1.63;1.12;1;0;1;0;1;1;0;1;1
367;43;6;140;1;0.66;750;113;700;0;2;3;2;3;7;6;16.53;16.53;0;0;36.85;20.83;33.62;21.2;23.2;6.83;14;19.62;14;6.1;15.1;8.1;15.1;1.8;1.8;0;0;9.37;6.37;6.37;9.6;9.6;0;0;3.3;1.3;1.3;2.3;2.1;3.03;0.65;0;0;0.68;1.56;0.48;1.63;1.05;1;1;0;0;1;1;1;1;1
368;48;4;22;1;0;720;417;513;1;0;2;1;0;2;5;0;0;0;0;32.68;0;0;0;28.13;0;0;0;0;0;0;14.53;13.6;0;0;0;0;2.17;0;0;0;8.17;0;0;2;0;0;0;6.1;0;0;0;0;1.36;0;0;0;2.21;0;0;0;0;1;0;0;0;1
369;45;1;30;0;1;750;704;33;1;1;0;1;1;3;5;0;0;7.1;4.68;12.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.92;13.43;9.72;0;0;0;0;0.2;1.3;0.1;0;0;0;0;0;0;2.04;0.44;0.68;0;0;0;0;0;0;1;1;1;0;0;0;0
370;48;4;22;1;0;720;417;513;1;0;2;1;0;2;5;0;0;0;0;32.68;0;0;0;28.13;0;0;0;0;0;0;14.53;13.6;0;0;0;0;2.17;0;0;0;8.17;0;0;2;0;0;0;6.1;0;0;0;0;1.36;0;0;0;2.21;0;0;0;0;1;0;0;0;1
371;48;4;22;1;0;730;412;513;1;0;2;1;1;4;5;0;0;19.62;0;26.48;0;0;19.12;19.53;0;0;0;0;5.52;13.6;5.93;13.6;0;0;6.12;0;6.83;0;0;13.08;13.08;2.3;0;0.3;0;0;5.5;3.8;0;0;2.72;0;1.36;0;0;2.21;2.21;0;0;1;0;1;0;0;1;1
372;44;6;50;0;0;815;213;511;0;0;1;2;0;2;5;0;0;0;0;7;0;0;0;6.28;0;0;0;0;0;0;3.38;2.9;0;0;0;0;6.6;0;0;0;8.77;0;0;1.3;0;0;0;3.7;0;0;0;0;1.36;0;0;0;2.21;0;0;0;0;1;0;0;0;1
373;65;4;16;1;0;705;416;511;1;0;0;1;0;3;5;0;0;0;0;27.98;0;0;21.9;24.3;0;0;0;0;10;11.9;12.4;11.9;0;0;0;0;10.8;0;0;5.28;5.28;0;0;1.4;0;0;5.5;4.5;0;0;0;0;1.36;0;0;2.21;2.21;0;0;0;0;1;0;0;1;1
374;40;5;25;0;1;720;113;700;1;1;3;1;1;7;9;15.72;0;12.42;0;30.75;19.85;19.85;20.48;23.87;4.75;15.1;4.75;15.1;5.38;15.1;8.77;15.1;3.23;0;15.12;0;6.97;6.37;5.4;5.63;7.2;1;0;3.3;1.3;1.3;2.3;2.1;2.35;0;2.04;0;0.68;1.63;0.51;1.16;1.16;1;0;1;0;1;1;1;1;1
375;44;3;85;0;0;750;318;511;0;0;0;2;1;3;5;0;0;0;0;14.67;0;0;10.22;10.77;0;0;0;0;1.72;8.5;2.27;8.5;0;0;0;0;7.2;0;0;4.08;4.08;0;0;0.2;0;0;5.5;3.4;0;0;0;0;1.36;0;0;2.21;2.21;0;0;0;0;1;0;0;1;1
