ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
73;40;4;105.00;1;1.00;815;417;701;1;2;2;2;2;9;6;15.53;15.53;12.75;12.90;26.22;13.37;28.52;14.97;15.45;1.67;11.70;16.82;11.70;9.87;5.10;10.35;5.10;5.40;5.40;11.40;14.40;11.40;6.60;6.60;12.23;12.23;0.40;1.30;0.70;1.30;1.30;1.70;2.00;4.39;0.51;2.04;0.44;0.68;1.22;0.48;2.18;1.16;1;1;1;1;1;1;1;1;1
74;40;6;200.00;1;0.66;845;116;701;0;4;2;5;6;8;6;16.53;16.53;13.25;0.00;33.90;17.97;38.65;18.50;22.70;12.87;5.10;33.55;5.10;4.50;14.00;13.60;9.10;5.40;5.40;12.00;0.00;11.52;6.97;6.97;12.23;12.23;0.60;0.00;3.30;1.30;1.30;1.90;4.60;4.59;0.58;2.04;0.00;0.68;1.94;0.48;2.48;1.12;1;1;1;0;1;1;1;1;1
75;45;3;96.00;1;1.00;840;501;109;1;1;0;1;1;4;1;11.15;11.15;0.00;9.80;19.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.80;0.00;0.00;14.88;5.28;0.00;0.00;0.00;0.00;0.00;2.00;1.30;0.00;0.00;0.00;0.00;7.04;1.80;0.00;0.44;1.36;0.00;0.00;0.00;0.00;1;1;0;1;1;0;0;0;0
76;45;4;120.00;0;1.00;755;409;701;0;3;1;2;3;6;1;13.92;0.00;19.67;0.00;29.63;16.55;0.00;15.70;17.40;2.55;14.00;0.00;0.00;1.70;14.00;3.40;14.00;7.80;0.00;6.48;0.00;6.48;5.77;0.00;5.63;5.63;0.80;0.00;0.90;1.30;0.00;2.08;1.70;5.68;0.00;2.04;0.00;0.68;1.26;0.00;2.48;1.12;1;0;1;0;1;1;0;1;1
77;50;2;46.00;1;0.00;715;403;513;1;0;0;2;1;4;5;0.00;0.00;14.22;0.00;19.63;0.00;0.00;16.90;17.67;0.00;0.00;0.00;0.00;3.30;13.60;5.37;12.30;0.00;0.00;12.23;0.00;6.23;0.00;0.00;12.72;2.17;0.60;0.00;1.30;0.00;0.00;3.80;4.20;0.00;0.00;3.40;0.00;1.36;0.00;0.00;2.21;2.21;0;0;1;0;1;0;0;1;1
78;45;8;500.00;1;0.37;900;111;701;0;3;4;3;8;8;1;11.37;11.37;11.03;0.00;25.82;18.88;26.80;18.15;20.37;4.88;14.00;12.80;14.00;4.15;14.00;6.37;14.00;11.40;11.40;11.40;0.00;11.40;1.80;1.80;3.83;7.20;0.60;0.00;1.60;1.30;1.30;1.90;3.00;2.58;0.44;2.04;0.00;0.68;1.43;0.44;1.46;1.12;1;1;1;0;1;1;1;1;1
79;62;4;38.00;1;1.00;630;313;511;1;1;2;1;1;3;5;7.07;0.00;0.00;0.00;12.97;11.38;0.00;0.00;0.00;4.08;7.30;0.00;0.00;0.00;0.00;0.00;0.00;5.40;0.00;0.00;0.00;7.92;8.88;0.00;0.00;0.00;0.00;0.00;1.10;3.20;0.00;0.00;0.00;3.40;0.00;0.00;0.00;1.36;2.04;0.00;0.00;0.00;1;0;0;0;1;1;0;0;0
80;45;2;180.00;1;1.00;730;402;511;0;2;0;2;2;7;1;13.57;13.57;0.00;0.00;19.58;14.23;29.40;15.82;16.98;5.73;8.50;20.90;8.50;7.32;8.50;7.48;9.50;0.23;0.00;0.00;0.00;7.08;5.28;4.08;4.68;8.28;0.00;0.00;2.00;3.20;3.20;3.80;4.00;4.83;1.22;0.00;0.00;1.36;2.38;0.88;1.87;2.21;1;1;0;0;1;1;1;1;1
81;36;2;100.00;1;0.50;800;318;701;1;1;0;2;2;8;6;16.47;16.47;18.32;0.00;33.77;19.20;32.45;17.90;20.60;5.20;14.00;18.45;14.00;3.90;14.00;6.60;14.00;6.00;6.00;12.60;0.00;21.00;5.40;5.40;15.23;15.23;0.60;0.00;1.00;1.30;1.30;1.90;1.80;4.08;0.68;2.04;0.00;0.68;1.60;0.48;1.33;1.16;1;1;1;0;1;1;1;1;1
82;48;3;45.00;0;0.00;745;404;511;0;0;0;2;0;3;9;0.00;0.00;0.00;0.00;15.03;0.00;0.00;12.12;12.13;0.00;0.00;0.00;0.00;1.52;10.60;1.53;10.60;0.00;0.00;0.00;0.00;6.12;0.00;0.00;9.48;9.48;0.00;0.00;0.20;0.00;0.00;3.60;3.40;0.00;0.00;0.00;0.00;1.36;0.00;0.00;1.77;2.11;0;0;0;0;1;0;0;1;1
83;44;2;35.00;0;0.00;740;308;512;1;0;0;2;0;3;5;0.00;0.00;0.00;0.00;14.38;0.00;0.00;10.12;12.97;0.00;0.00;0.00;0.00;2.92;7.20;6.77;6.20;0.00;0.00;0.00;0.00;4.92;0.00;0.00;8.28;8.77;0.00;0.00;3.00;0.00;0.00;3.60;11.00;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.21;2.21;0;0;0;0;1;0;0;1;1
84;45;4;140.00;1;1.00;745;503;700;1;1;2;1;1;8;6;13.58;13.58;12.98;0.00;25.73;14.97;15.10;13.90;18.90;4.77;10.20;4.90;10.20;3.70;10.20;8.70;10.20;1.80;1.80;6.72;0.00;6.72;9.00;9.00;6.97;6.97;0.50;0.00;0.60;1.30;1.30;1.80;1.80;4.08;0.34;2.04;0.00;0.68;1.77;0.51;1.50;1.16;1;1;1;0;1;1;1;1;1
85;40;6;53.00;0;0.00;730;308;512;0;0;2;2;0;3;5;0.00;0.00;0.00;0.00;13.72;0.00;0.00;10.12;12.97;0.00;0.00;0.00;0.00;2.92;7.20;6.77;6.20;0.00;0.00;0.00;0.00;9.48;0.00;0.00;7.08;7.57;0.00;0.00;0.20;0.00;0.00;3.60;11.00;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.21;2.21;0;0;0;0;1;0;0;1;1
86;45;4;60.00;1;0.00;730;122;700;1;0;3;1;0;5;2;0.00;22.08;19.63;0.00;39.37;0.00;0.00;23.82;28.48;0.00;0.00;0.00;0.00;8.72;15.10;13.38;15.10;0.00;9.60;8.52;0.00;7.57;0.00;0.00;11.03;11.03;1.00;0.00;2.80;0.00;0.00;2.30;2.90;0.00;1.36;2.04;0.00;0.68;0.00;0.00;1.63;1.05;0;1;1;0;1;0;0;1;1
87;44;4;220.00;1;0.50;810;300;511;1;1;2;2;2;6;1;5.22;5.22;0.00;0.00;10.40;5.38;8.12;0.00;6.22;1.28;4.10;4.02;4.10;0.00;0.00;2.12;4.10;1.92;0.00;0.00;0.00;7.68;7.68;6.48;0.00;6.97;0.00;0.00;1.90;3.20;3.20;0.00;4.20;7.82;0.78;0.00;0.00;1.36;1.80;0.85;0.00;2.21;1;1;0;0;1;1;1;0;1
88;45;11;300.00;0;0.83;815;411;511;0;5;5;3;6;7;2;13.95;13.42;14.12;0.00;17.42;16.58;43.80;15.97;0.00;4.68;11.90;31.90;11.90;4.07;11.90;0.00;0.00;12.72;0.37;7.68;0.00;7.68;8.63;7.43;12.83;0.00;0.60;0.00;1.30;3.20;3.20;3.80;0.00;9.21;2.69;2.72;0.00;1.36;2.11;0.88;2.21;0.00;1;1;1;0;1;1;1;1;0
89;70;6;80.00;0;0.00;800;416;511;0;0;3;2;2;3;5;0.00;0.00;0.00;0.00;29.47;0.00;0.00;22.00;24.43;0.00;0.00;0.00;0.00;10.10;11.90;12.53;11.90;0.00;0.00;0.00;0.00;3.23;0.00;0.00;7.43;7.43;0.00;0.00;3.00;0.00;0.00;3.80;4.50;0.00;0.00;0.00;0.00;1.36;0.00;0.00;2.21;2.21;0;0;0;0;1;0;0;1;1
90;50;2;60.00;1;1.00;740;508;700;1;1;0;1;1;4;5;19.83;0.00;0.00;0.00;30.12;18.93;0.00;0.00;19.30;3.83;15.10;0.00;0.00;0.00;0.00;4.20;15.10;5.77;0.00;0.00;0.00;7.57;5.28;0.00;0.00;13.68;0.00;0.00;2.30;1.30;0.00;0.00;1.80;2.89;0.00;0.00;0.00;0.68;1.43;0.00;0.00;1.12;1;0;0;0;1;1;0;0;1
91;45;2;30.00;0;1.00;815;502;107;1;1;0;2;1;2;4;0.00;0.00;0.00;10.60;15.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;14.40;8.03;0.00;0.00;0.00;0.00;0.00;3.20;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.75;1.36;0.00;0.00;0.00;0.00;0;0;0;1;1;0;0;0;0
92;48;5;120.00;0;1.00;745;119;701;0;1;3;3;1;6;9;0.00;14.37;17.27;0.00;34.65;0.00;20.83;18.50;23.12;0.00;0.00;6.83;14.00;4.50;14.00;9.12;14.00;0.00;5.77;13.62;0.00;7.02;0.00;5.28;5.82;5.82;1.00;0.00;3.30;0.00;1.30;2.30;2.90;0.00;0.61;2.04;0.00;0.68;0.00;0.51;2.52;1.09;0;1;1;0;1;0;1;1;1
93;48;2;51.00;0;0.00;800;712;31;1;0;0;1;0;3;4;0.00;0.00;13.88;14.00;28.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;7.08;6.00;0.00;0.00;0.00;0.00;0.40;1.30;0.70;0.00;0.00;0.00;0.00;0.00;0.00;2.04;0.44;0.68;0.00;0.00;0.00;0.00;0;0;1;1;1;0;0;0;0
94;45;7;40.00;1;0.00;800;408;511;1;0;1;2;1;5;5;0.00;0.00;19.98;0.00;27.43;0.00;27.62;19.08;18.57;0.00;0.00;15.72;11.90;7.18;11.90;6.67;11.90;0.00;0.00;16.80;0.00;16.80;0.00;7.43;8.03;8.03;2.30;0.00;0.30;0.00;3.20;5.50;8.00;0.00;0.00;2.72;0.00;1.36;0.00;0.92;2.21;2.21;0;0;1;0;1;0;1;1;1
95;48;3;65.00;1;0.50;820;500;107;1;1;1;2;2;4;4;12.12;13.20;0.00;11.90;17.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.28;0.00;0.00;6.48;3.23;0.00;0.00;0.00;0.00;0.00;3.20;0.50;0.00;0.00;0.00;0.00;3.40;1.36;0.00;0.85;1.36;0.00;0.00;0.00;0.00;1;1;0;1;1;0;0;0;0
96;48;5;80.00;1;0.50;800;120;702;1;1;2;1;2;8;5;12.53;12.53;17.63;0.00;32.92;18.33;25.38;18.60;21.70;5.53;12.80;12.58;12.80;5.80;12.80;8.90;12.80;4.20;4.20;14.28;0.00;2.28;10.57;10.57;21.72;21.72;1.00;0.00;2.80;1.30;1.30;2.30;2.90;1.26;0.65;2.04;0.00;0.68;1.53;0.48;1.63;1.12;1;1;1;0;1;1;1;1;1
97;48;5;75.00;0;1.00;820;704;11;1;2;1;1;2;4;5;0.00;3.12;3.27;2.40;4.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.77;8.70;12.30;4.27;0.00;0.00;0.00;0.00;0.20;1.30;0.20;0.00;0.00;0.00;0.00;0.00;0.10;1.70;0.44;0.61;0.00;0.00;0.00;0.00;0;1;1;1;1;0;0;0;0
98;48;4;100.00;0;1.00;750;210;117;1;1;3;1;1;2;5;2.37;0.00;0.00;0.00;2.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.72;0.00;0.00;0.00;7.43;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;1.22;0.00;0.00;0.00;1.36;0.00;0.00;0.00;0.00;1;0;0;0;1;0;0;0;0
